date,day_of_week,time_of_day,clinic,clinic_type,urban_rural,appointment_type,appointments,avg_appointment_duration,clinic_open_hours,appointment_lead_time,walk_ins,emergencies,staff_count,weather,transport_access_score,walk_in_policy,cancellation_rate,cancellations,no_shows,no_show_rate,staff_nurses,staff_doctors,triage_score_avg,power_outage,equipment_downtime,patients_served,avg_wait_time,efficiency_score,staff_per_patient,complaints_received
2025-04-15,Tuesday,Afternoon,Clinic_4,Maternal,Rural,Urgent,87,12.5,8,26,17,3,4,Clear,0.8,Moderate,0.14,12,7,0.08,3,1,1.86,0,0,88,43.22,17.68,0.05,14
2024-12-14,Saturday,Afternoon,Clinic_7,General,Urban,Urgent,89,18.4,8,7,26,5,9,Rain,0.25,Open,0.12,10,10,0.11,4,5,1.82,0,0,100,44.7,6.64,0.09,14
2025-06-01,Sunday,Morning,Clinic_25,General,Urban,Urgent,34,29.9,8,26,19,4,3,Storm,0.66,Open,0.06,2,0,0.0,1,2,2.88,0,0,55,31.39,15.19,0.05,9
2025-02-10,Monday,Evening,Clinic_19,Maternal,Rural,Urgent,71,19.9,9,30,12,2,5,Cloudy,0.83,Moderate,0.2,14,4,0.06,2,3,1.24,0,0,67,27.16,10.68,0.07,9
2025-02-24,Monday,Morning,Clinic_10,Maternal,Rural,Routine,119,21.2,9,17,18,3,5,Rain,0.51,Moderate,0.07,8,12,0.1,2,3,1.87,0,0,120,57.39,18.26,0.04,14
2025-02-05,Wednesday,Morning,Clinic_2,Pediatric,Rural,Urgent,56,22.1,8,27,15,5,4,Clear,0.35,Open,0.19,10,5,0.09,2,2,1.65,0,0,61,35.54,11.7,0.07,10
2025-04-27,Sunday,Morning,Clinic_30,Maternal,Urban,Urgent,115,30.0,9,29,22,1,10,Rain,0.76,Open,0.06,6,8,0.07,6,4,2.23,0,1,124,62.03,6.2,0.08,17
2025-04-03,Thursday,Afternoon,Clinic_9,Pediatric,Rural,Follow-up,56,12.0,10,15,17,1,8,Storm,0.93,Moderate,0.16,8,8,0.14,4,4,1.71,0,0,58,28.45,4.41,0.14,11
2025-01-02,Thursday,Evening,Clinic_24,Chronic,Rural,Routine,70,13.9,8,12,18,0,6,Rain,0.6,Open,0.15,10,0,0.0,1,5,1.94,0,1,78,50.89,7.91,0.08,13
2025-02-05,Wednesday,Afternoon,Clinic_6,Maternal,Rural,Routine,117,28.3,10,20,15,2,10,Clear,0.62,Strict,0.19,22,12,0.1,8,2,2.08,0,0,100,41.03,5.9,0.1,13
2025-03-21,Friday,Morning,Clinic_17,Chronic,Rural,Routine,115,22.4,10,29,6,0,9,Cloudy,0.73,Strict,0.04,4,15,0.13,4,5,2.68,0,0,102,36.19,7.71,0.09,12
2025-06-07,Saturday,Evening,Clinic_27,Chronic,Urban,Routine,30,28.4,10,4,22,4,9,Rain,0.35,Open,0.02,0,1,0.03,5,4,2.2,0,0,55,24.97,3.61,0.16,5
2025-01-19,Sunday,Evening,Clinic_8,Pediatric,Urban,Urgent,62,29.8,10,24,16,2,9,Clear,0.27,Moderate,0.03,1,7,0.11,7,2,3.95,0,0,72,30.96,4.9,0.12,8
2024-12-14,Saturday,Evening,Clinic_26,Pediatric,Urban,Urgent,78,28.4,8,6,22,3,3,Cloudy,0.42,Strict,0.13,10,11,0.14,1,2,2.21,0,0,82,37.71,23.56,0.04,9
2025-02-17,Monday,Morning,Clinic_25,Chronic,Urban,Follow-up,117,13.2,8,18,13,4,3,Cloudy,0.74,Open,0.05,5,6,0.05,2,1,2.25,0,0,123,56.69,35.33,0.02,20
2025-04-15,Tuesday,Morning,Clinic_4,Chronic,Urban,Routine,72,16.8,10,30,17,5,5,Cloudy,0.98,Moderate,0.16,11,8,0.11,1,4,2.35,0,1,75,61.75,8.82,0.07,11
2025-05-01,Thursday,Morning,Clinic_22,Emergency,Rural,Routine,33,25.4,9,25,25,2,10,Rain,0.77,Strict,0.11,3,4,0.12,6,4,3.04,0,0,53,13.01,4.0,0.19,6
2024-12-12,Thursday,Afternoon,Clinic_15,Pediatric,Rural,Routine,64,12.7,8,13,9,3,5,Cloudy,0.65,Open,0.15,9,7,0.11,3,2,2.21,0,0,60,36.36,8.36,0.08,15
2025-04-21,Monday,Afternoon,Clinic_1,Pediatric,Rural,Follow-up,82,25.6,10,28,8,0,4,Rain,0.66,Strict,0.08,6,8,0.1,1,3,2.67,0,0,76,33.3,15.67,0.05,9
2025-01-17,Friday,Afternoon,Clinic_9,Chronic,Rural,Follow-up,117,25.7,9,8,17,1,5,Rain,0.78,Moderate,0.07,8,14,0.12,3,2,1.9,0,0,113,50.46,17.55,0.04,14
2025-01-26,Sunday,Evening,Clinic_13,Pediatric,Rural,Follow-up,106,18.6,10,19,24,1,10,Rain,0.44,Open,0.04,4,12,0.11,5,5,2.73,0,0,115,45.49,6.95,0.09,13
2025-02-14,Friday,Evening,Clinic_21,Chronic,Urban,Follow-up,118,17.5,9,11,11,3,8,Clear,0.95,Strict,0.05,5,10,0.08,4,4,1.81,1,0,117,62.18,8.41,0.07,19
2025-03-25,Tuesday,Afternoon,Clinic_27,General,Rural,Urgent,105,20.0,10,9,22,1,3,Rain,0.4,Strict,0.19,19,12,0.11,2,1,1.85,1,0,97,77.35,24.6,0.03,23
2024-12-19,Thursday,Evening,Clinic_30,Chronic,Urban,Follow-up,84,24.0,10,19,30,3,4,Clear,0.29,Strict,0.1,8,9,0.11,3,1,3.81,0,0,100,47.83,20.22,0.04,11
2025-03-22,Saturday,Evening,Clinic_13,Pediatric,Rural,Routine,114,10.2,9,7,26,2,5,Rain,0.56,Moderate,0.14,15,6,0.05,1,4,3.55,0,0,121,58.47,18.35,0.04,17
2024-12-10,Tuesday,Morning,Clinic_4,Maternal,Rural,Follow-up,89,16.9,8,16,29,5,5,Cloudy,0.48,Strict,0.08,7,9,0.1,1,4,1.71,0,0,107,65.93,14.81,0.05,17
2025-04-15,Tuesday,Morning,Clinic_28,Pediatric,Urban,Urgent,86,26.0,10,7,28,5,10,Rain,0.64,Moderate,0.08,6,8,0.09,5,5,3.01,0,0,105,44.71,6.03,0.1,13
2025-02-19,Wednesday,Afternoon,Clinic_1,Emergency,Urban,Follow-up,101,21.8,9,0,18,3,6,Rain,0.36,Open,0.16,16,7,0.07,2,4,2.83,0,0,99,56.21,10.88,0.06,18
2025-01-31,Friday,Afternoon,Clinic_17,Pediatric,Rural,Urgent,38,17.9,8,11,23,0,5,Storm,0.88,Open,0.09,3,8,0.21,2,3,2.14,0,0,50,22.95,7.71,0.1,6
2024-12-14,Saturday,Morning,Clinic_8,Pediatric,Urban,Routine,52,17.5,8,16,26,5,7,Cloudy,0.53,Strict,0.19,9,5,0.1,5,2,3.27,0,0,69,28.64,6.99,0.1,11
2025-03-20,Thursday,Morning,Clinic_6,Pediatric,Rural,Urgent,103,11.1,9,30,17,3,5,Clear,0.59,Strict,0.11,11,9,0.09,2,3,2.2,0,0,103,43.84,16.22,0.05,10
2025-06-03,Tuesday,Afternoon,Clinic_6,General,Urban,Routine,79,15.8,9,7,22,4,10,Storm,0.33,Moderate,0.09,7,10,0.13,8,2,2.55,0,0,88,29.25,5.88,0.11,7
2025-05-28,Wednesday,Afternoon,Clinic_18,General,Rural,Urgent,102,14.4,9,3,28,3,4,Rain,0.44,Strict,0.12,12,9,0.09,2,2,3.67,0,0,112,54.8,22.52,0.04,13
2024-12-13,Friday,Evening,Clinic_19,Pediatric,Rural,Routine,87,22.3,8,26,13,2,4,Rain,0.84,Open,0.1,8,7,0.08,1,3,2.31,0,0,87,29.12,18.84,0.05,10
2025-06-03,Tuesday,Evening,Clinic_29,General,Urban,Follow-up,74,28.4,9,27,22,2,5,Rain,0.76,Strict,0.08,5,6,0.08,3,2,2.99,0,0,87,50.44,12.36,0.06,16
2025-03-18,Tuesday,Morning,Clinic_19,Pediatric,Rural,Follow-up,61,19.0,10,25,9,5,8,Clear,0.52,Open,0.17,10,5,0.08,7,1,1.73,0,0,60,42.17,3.28,0.13,11
2025-05-25,Sunday,Evening,Clinic_3,Chronic,Rural,Routine,65,25.9,9,6,27,2,10,Cloudy,0.86,Moderate,0.19,12,6,0.09,6,4,2.48,0,1,76,46.99,2.9,0.13,12
2025-06-01,Sunday,Afternoon,Clinic_29,General,Urban,Routine,64,22.5,9,0,15,2,8,Clear,0.94,Strict,0.12,7,4,0.06,2,6,2.12,0,0,70,28.54,5.9,0.11,7
2025-03-06,Thursday,Afternoon,Clinic_3,Pediatric,Rural,Routine,86,17.4,10,5,19,0,9,Clear,0.52,Moderate,0.06,5,6,0.07,3,6,2.57,0,0,94,31.03,7.34,0.1,13
2024-12-27,Friday,Morning,Clinic_19,Maternal,Rural,Routine,119,10.2,9,26,29,1,9,Clear,0.99,Moderate,0.14,16,3,0.03,2,7,3.26,0,0,130,54.93,8.95,0.07,12
2025-06-03,Tuesday,Afternoon,Clinic_12,Pediatric,Urban,Follow-up,118,25.5,8,20,9,3,4,Rain,0.25,Open,0.06,7,10,0.08,1,3,2.24,0,0,113,44.36,23.81,0.04,13
2025-01-30,Thursday,Afternoon,Clinic_20,Chronic,Urban,Routine,31,27.9,8,24,24,5,5,Clear,0.67,Moderate,0.1,3,0,0.0,2,3,3.73,0,0,57,38.48,7.55,0.09,11
2025-01-29,Wednesday,Evening,Clinic_20,Pediatric,Urban,Urgent,74,27.5,8,16,18,2,5,Rain,0.8,Moderate,0.06,4,9,0.12,1,4,1.71,0,0,81,36.58,12.54,0.06,11
2025-03-21,Friday,Evening,Clinic_29,General,Rural,Follow-up,112,12.6,10,13,6,1,10,Storm,0.64,Strict,0.09,10,7,0.06,4,6,3.0,0,0,102,31.9,7.01,0.1,11
2024-12-17,Tuesday,Morning,Clinic_26,Chronic,Rural,Urgent,90,24.3,9,13,29,0,3,Cloudy,0.27,Open,0.13,11,11,0.12,1,2,2.81,0,0,97,48.7,27.46,0.03,16
2025-05-31,Saturday,Morning,Clinic_18,Pediatric,Rural,Urgent,98,22.7,10,21,24,1,7,Clear,0.45,Moderate,0.04,3,6,0.06,1,6,2.93,0,0,114,46.87,11.6,0.06,13
2024-12-13,Friday,Afternoon,Clinic_22,Maternal,Urban,Routine,60,24.2,10,0,6,1,4,Rain,0.6,Moderate,0.19,11,6,0.1,1,3,1.62,0,0,50,34.12,9.09,0.08,9
2025-04-17,Thursday,Evening,Clinic_29,General,Urban,Follow-up,96,26.1,9,16,21,5,7,Clear,0.41,Open,0.05,4,8,0.08,2,5,3.23,0,1,110,59.28,9.79,0.06,13
2025-04-11,Friday,Afternoon,Clinic_6,Pediatric,Urban,Urgent,110,23.5,8,7,7,3,10,Clear,0.24,Strict,0.11,12,6,0.05,1,9,2.92,0,0,102,29.6,7.24,0.1,14
2025-05-18,Sunday,Morning,Clinic_18,Chronic,Urban,Follow-up,61,15.0,10,10,6,3,8,Storm,0.86,Open,0.09,5,0,0.0,2,6,3.69,0,1,65,40.86,4.04,0.12,11
2025-01-03,Friday,Afternoon,Clinic_28,Pediatric,Rural,Follow-up,77,11.7,9,0,8,4,3,Storm,0.36,Open,0.05,3,6,0.08,1,2,2.78,1,0,80,61.91,20.48,0.04,18
2025-06-05,Thursday,Morning,Clinic_24,Emergency,Urban,Routine,68,10.1,9,0,28,4,6,Rain,0.63,Open,0.1,6,7,0.1,5,1,2.61,1,1,87,76.58,6.84,0.07,18
2024-12-27,Friday,Morning,Clinic_7,Emergency,Urban,Follow-up,118,19.8,8,4,5,2,3,Storm,0.27,Strict,0.16,18,12,0.1,2,1,1.3,0,0,95,43.16,27.35,0.03,16
2025-04-10,Thursday,Morning,Clinic_21,Chronic,Urban,Urgent,96,21.4,9,21,18,5,8,Rain,0.39,Moderate,0.1,9,10,0.1,6,2,2.37,0,0,100,44.39,8.06,0.08,14
2024-12-10,Tuesday,Morning,Clinic_25,Emergency,Urban,Routine,70,12.1,9,14,30,3,8,Storm,0.53,Open,0.08,5,5,0.07,3,5,1.96,0,1,93,55.48,6.08,0.09,12
2025-05-14,Wednesday,Evening,Clinic_10,Emergency,Urban,Routine,75,26.7,9,4,29,1,10,Clear,0.77,Moderate,0.08,6,8,0.11,5,5,1.31,0,0,91,38.65,5.23,0.11,12
2025-02-05,Wednesday,Afternoon,Clinic_18,Emergency,Urban,Routine,80,19.2,8,3,21,0,7,Clear,0.25,Strict,0.07,5,8,0.1,2,5,3.19,0,0,88,43.83,8.19,0.08,14
2025-01-30,Thursday,Morning,Clinic_1,General,Urban,Urgent,46,18.9,8,2,11,3,8,Storm,0.3,Moderate,0.14,6,0,0.0,6,2,1.6,0,0,54,19.68,4.78,0.15,6
2025-04-15,Tuesday,Afternoon,Clinic_6,Pediatric,Urban,Routine,36,15.5,9,28,10,4,9,Rain,0.23,Open,0.17,6,5,0.14,7,2,1.99,0,0,39,19.73,2.36,0.23,4
2025-03-23,Sunday,Afternoon,Clinic_5,Chronic,Urban,Urgent,108,27.7,10,7,12,5,7,Clear,0.99,Open,0.11,11,8,0.07,5,2,1.52,0,0,106,42.28,10.91,0.07,11
2025-04-04,Friday,Morning,Clinic_11,Emergency,Urban,Routine,75,27.9,9,1,20,4,10,Cloudy,0.62,Open,0.08,6,4,0.05,9,1,3.24,0,0,89,28.75,6.03,0.11,14
2025-01-10,Friday,Evening,Clinic_2,Maternal,Rural,Follow-up,59,28.7,8,5,10,0,6,Rain,0.67,Open,0.14,8,7,0.12,3,3,2.63,0,0,54,21.41,6.86,0.11,8
2025-02-16,Sunday,Evening,Clinic_7,Chronic,Rural,Routine,119,19.8,8,1,16,4,3,Rain,0.68,Strict,0.15,17,10,0.08,2,1,2.59,1,0,112,91.5,28.18,0.03,24
2025-02-07,Friday,Morning,Clinic_30,Pediatric,Urban,Routine,97,13.0,10,29,20,0,8,Rain,0.82,Open,0.19,18,13,0.13,2,6,2.01,0,0,86,37.93,6.96,0.09,15
2024-12-26,Thursday,Morning,Clinic_24,Chronic,Rural,Urgent,76,16.3,10,30,7,2,9,Storm,0.38,Open,0.13,9,5,0.07,6,3,3.77,0,0,71,29.84,4.9,0.13,8
2025-02-26,Wednesday,Evening,Clinic_13,Emergency,Urban,Routine,52,22.0,10,7,17,2,7,Clear,0.95,Strict,0.04,2,7,0.13,6,1,3.18,0,0,62,31.21,5.74,0.11,5
2025-01-16,Thursday,Morning,Clinic_27,Pediatric,Rural,Routine,72,15.3,8,22,28,0,6,Clear,0.48,Strict,0.08,5,5,0.07,3,3,2.33,0,1,90,53.23,9.68,0.07,15
2025-03-22,Saturday,Afternoon,Clinic_12,Emergency,Rural,Routine,30,26.6,10,20,6,3,10,Rain,0.33,Strict,0.15,4,3,0.1,3,7,1.57,0,0,32,13.4,1.86,0.31,5
2025-05-06,Tuesday,Afternoon,Clinic_6,General,Urban,Follow-up,34,21.9,10,28,14,0,8,Cloudy,0.76,Moderate,0.07,2,5,0.15,1,7,3.26,0,0,41,20.37,3.09,0.2,6
2025-03-29,Saturday,Afternoon,Clinic_23,Emergency,Rural,Urgent,113,15.6,8,3,10,4,9,Clear,0.51,Open,0.05,5,11,0.1,2,7,1.34,0,1,111,59.05,6.43,0.08,17
2025-02-01,Saturday,Evening,Clinic_16,Maternal,Urban,Routine,92,14.1,10,9,9,0,8,Clear,0.58,Strict,0.02,1,10,0.11,1,7,1.61,0,0,90,25.69,8.68,0.09,11
2025-02-10,Monday,Morning,Clinic_12,Chronic,Rural,Routine,69,18.9,9,14,30,3,10,Cloudy,0.41,Moderate,0.11,7,6,0.09,5,5,2.98,0,0,89,35.34,5.37,0.11,10
2025-05-19,Monday,Evening,Clinic_8,Emergency,Urban,Follow-up,102,26.4,9,30,6,1,4,Cloudy,0.66,Strict,0.04,4,13,0.13,2,2,2.14,0,0,92,42.58,18.74,0.04,12
2025-05-17,Saturday,Evening,Clinic_22,Emergency,Urban,Routine,90,29.0,9,5,14,0,9,Rain,0.98,Strict,0.18,16,7,0.08,1,8,2.28,0,1,81,47.11,4.29,0.11,12
2025-05-03,Saturday,Morning,Clinic_27,Emergency,Rural,Follow-up,46,28.2,8,2,6,3,4,Cloudy,0.65,Open,0.2,9,8,0.17,2,2,1.87,0,0,38,27.37,6.76,0.11,6
2025-05-20,Tuesday,Evening,Clinic_26,Chronic,Urban,Follow-up,71,13.0,10,18,13,4,10,Clear,0.94,Open,0.19,13,11,0.15,1,9,2.64,0,0,64,33.96,3.0,0.16,7
2025-02-22,Saturday,Evening,Clinic_16,General,Urban,Follow-up,42,18.1,10,19,30,2,8,Cloudy,0.23,Moderate,0.18,7,5,0.12,3,5,3.12,0,0,62,30.01,4.75,0.13,10
2025-02-01,Saturday,Afternoon,Clinic_10,Pediatric,Rural,Urgent,118,23.7,8,4,12,0,10,Storm,0.98,Moderate,0.19,22,10,0.08,6,4,3.49,0,0,98,47.89,5.01,0.1,14
2025-03-29,Saturday,Afternoon,Clinic_24,Chronic,Rural,Routine,71,20.3,8,2,13,5,9,Storm,0.77,Moderate,0.13,9,5,0.07,2,7,3.52,0,0,75,40.2,4.31,0.12,10
2025-03-29,Saturday,Afternoon,Clinic_2,Pediatric,Urban,Follow-up,47,17.4,9,16,29,4,3,Cloudy,0.71,Strict,0.05,2,3,0.06,1,2,2.3,0,0,75,36.88,21.31,0.04,7
2025-04-16,Wednesday,Evening,Clinic_18,Pediatric,Rural,Routine,117,26.8,9,23,5,1,8,Clear,0.43,Moderate,0.11,12,8,0.07,4,4,1.96,0,1,103,52.93,7.58,0.08,16
2025-01-10,Friday,Afternoon,Clinic_17,General,Urban,Follow-up,36,28.2,10,5,10,4,6,Clear,0.38,Open,0.17,6,8,0.22,2,4,1.8,0,0,36,29.72,3.03,0.17,7
2024-12-23,Monday,Morning,Clinic_15,Pediatric,Rural,Urgent,69,12.0,10,21,27,5,7,Storm,0.65,Open,0.1,6,6,0.09,4,3,2.97,0,0,89,37.09,9.01,0.08,11
2025-04-14,Monday,Afternoon,Clinic_9,Pediatric,Urban,Routine,107,20.3,8,28,14,2,4,Clear,0.84,Open,0.11,11,11,0.1,2,2,2.84,1,0,101,70.55,18.2,0.04,24
2025-04-24,Thursday,Afternoon,Clinic_13,Chronic,Urban,Urgent,81,24.2,10,26,26,2,5,Rain,0.47,Open,0.15,12,6,0.07,4,1,2.13,1,0,91,62.18,11.98,0.05,15
2025-04-07,Monday,Evening,Clinic_29,Emergency,Urban,Follow-up,58,12.0,8,23,26,4,10,Storm,0.78,Open,0.18,10,3,0.05,6,4,3.33,0,0,75,38.5,3.65,0.13,9
2025-04-07,Monday,Afternoon,Clinic_12,Pediatric,Rural,Follow-up,53,27.0,9,1,26,2,4,Clear,0.58,Strict,0.06,3,2,0.04,1,3,2.83,0,0,76,36.14,15.39,0.05,11
2025-01-12,Sunday,Morning,Clinic_7,Pediatric,Rural,Urgent,94,27.9,9,4,8,5,9,Storm,0.89,Strict,0.12,11,10,0.11,7,2,1.44,0,1,86,59.44,3.61,0.1,20
2025-01-20,Monday,Morning,Clinic_19,Maternal,Rural,Routine,40,12.6,9,20,20,2,5,Cloudy,0.52,Moderate,0.08,3,2,0.05,1,4,2.23,0,0,57,31.43,8.26,0.09,8
2025-03-21,Friday,Evening,Clinic_7,General,Urban,Urgent,79,24.7,8,22,5,0,6,Storm,0.45,Strict,0.15,11,9,0.11,1,5,3.91,0,0,64,28.32,7.83,0.09,8
2024-12-29,Sunday,Evening,Clinic_17,Emergency,Rural,Follow-up,79,27.8,8,10,21,4,7,Cloudy,0.49,Strict,0.05,3,3,0.04,1,6,1.99,0,0,98,41.03,9.9,0.07,15
2025-05-20,Tuesday,Evening,Clinic_6,General,Rural,Urgent,51,23.0,8,12,30,3,3,Storm,0.82,Open,0.06,3,3,0.06,1,2,2.66,0,0,78,43.72,21.63,0.04,13
2025-01-01,Wednesday,Afternoon,Clinic_13,General,Rural,Follow-up,36,24.0,8,22,24,0,4,Clear,0.44,Open,0.14,5,10,0.28,1,3,2.13,0,0,45,27.35,8.52,0.09,9
2025-01-18,Saturday,Morning,Clinic_17,Emergency,Urban,Follow-up,42,12.3,8,15,26,4,7,Rain,0.69,Moderate,0.13,5,6,0.14,6,1,3.79,0,0,61,35.52,5.16,0.11,8
2025-04-24,Thursday,Evening,Clinic_30,Chronic,Rural,Routine,96,10.1,10,2,11,2,9,Clear,0.87,Open,0.07,6,11,0.11,1,8,3.28,0,1,92,53.4,4.88,0.1,16
2025-01-29,Wednesday,Afternoon,Clinic_10,Pediatric,Rural,Routine,93,12.0,8,27,9,0,4,Clear,0.88,Moderate,0.15,13,12,0.13,1,3,3.32,1,0,77,66.31,12.62,0.05,19
2025-01-10,Friday,Evening,Clinic_6,Pediatric,Rural,Follow-up,116,29.1,9,28,15,3,4,Clear,0.5,Moderate,0.04,4,11,0.09,1,3,2.6,0,0,119,59.83,23.77,0.03,16
2025-03-12,Wednesday,Afternoon,Clinic_26,Chronic,Urban,Routine,53,12.7,10,1,8,3,9,Rain,0.28,Open,0.19,10,6,0.11,5,4,2.22,0,0,48,21.54,3.18,0.19,9
2025-05-18,Sunday,Evening,Clinic_29,Maternal,Rural,Follow-up,91,12.3,9,14,30,4,10,Clear,0.25,Open,0.05,4,9,0.1,7,3,2.53,0,0,112,36.5,7.55,0.09,13
2025-04-12,Saturday,Evening,Clinic_4,Chronic,Urban,Follow-up,70,16.9,10,20,5,5,6,Cloudy,0.32,Open,0.2,14,8,0.11,3,3,4.01,0,0,58,32.46,6.42,0.1,10
2025-05-08,Thursday,Morning,Clinic_25,Chronic,Rural,Routine,108,16.6,9,1,6,0,5,Rain,0.64,Moderate,0.11,11,11,0.1,4,1,3.6,0,1,92,54.92,12.91,0.05,16
2024-12-17,Tuesday,Afternoon,Clinic_4,Chronic,Urban,Routine,81,18.1,8,17,12,0,10,Clear,0.86,Open,0.1,8,9,0.11,8,2,2.63,0,0,76,23.07,5.29,0.13,9
2025-06-01,Sunday,Morning,Clinic_27,Maternal,Rural,Follow-up,109,21.2,10,19,25,2,6,Cloudy,0.77,Moderate,0.14,15,14,0.13,4,2,1.78,1,0,107,71.86,10.65,0.06,18
2025-04-28,Monday,Afternoon,Clinic_18,Emergency,Rural,Urgent,87,12.1,8,15,8,0,6,Rain,0.86,Open,0.02,1,12,0.14,3,3,1.43,0,1,82,45.31,9.14,0.07,14
2025-03-27,Thursday,Morning,Clinic_23,Pediatric,Urban,Follow-up,82,10.9,10,26,8,2,6,Clear,0.82,Moderate,0.05,4,12,0.15,4,2,2.45,0,0,76,31.82,9.48,0.08,14
2025-01-30,Thursday,Afternoon,Clinic_27,Emergency,Rural,Urgent,88,25.6,8,22,26,4,5,Rain,0.78,Strict,0.19,16,4,0.05,1,4,1.0,0,0,98,52.6,14.34,0.05,13
2025-04-22,Tuesday,Evening,Clinic_25,Maternal,Rural,Follow-up,43,29.3,9,14,17,5,8,Rain,0.31,Open,0.11,4,1,0.02,4,4,3.0,0,0,60,29.12,4.59,0.13,6
2024-12-25,Wednesday,Evening,Clinic_21,Maternal,Urban,Routine,119,22.5,9,21,28,4,7,Storm,0.94,Strict,0.17,20,8,0.07,5,2,3.11,0,0,123,59.95,11.58,0.06,17
2025-04-09,Wednesday,Evening,Clinic_22,Chronic,Rural,Follow-up,120,26.2,10,3,25,1,8,Clear,0.5,Strict,0.15,18,17,0.14,7,1,1.75,0,0,111,41.37,9.74,0.07,12
2025-01-14,Tuesday,Morning,Clinic_27,General,Rural,Routine,115,25.1,8,11,6,1,7,Cloudy,0.28,Open,0.16,18,11,0.1,2,5,2.67,1,0,93,58.79,7.41,0.08,18
2025-05-27,Tuesday,Afternoon,Clinic_13,Chronic,Rural,Urgent,101,11.1,10,8,12,5,9,Rain,0.7,Moderate,0.06,6,6,0.06,5,4,3.51,0,0,106,40.39,7.74,0.08,15
2025-05-07,Wednesday,Evening,Clinic_7,Pediatric,Rural,Routine,58,29.7,8,5,25,5,8,Rain,0.79,Strict,0.16,9,6,0.1,5,3,2.82,0,0,73,39.25,5.2,0.11,11
2025-05-09,Friday,Morning,Clinic_11,Chronic,Urban,Routine,78,13.1,9,19,6,3,7,Clear,0.82,Open,0.12,9,9,0.12,2,5,3.43,0,0,69,32.88,6.57,0.1,11
2024-12-31,Tuesday,Afternoon,Clinic_17,Maternal,Urban,Urgent,108,11.4,10,5,26,2,10,Cloudy,0.63,Moderate,0.16,17,10,0.09,9,1,3.51,0,0,109,40.02,6.9,0.09,17
2024-12-26,Thursday,Evening,Clinic_17,Chronic,Urban,Routine,41,23.4,9,7,16,1,6,Rain,0.97,Open,0.14,5,3,0.07,3,3,1.5,0,0,50,25.44,5.79,0.12,5
2024-12-27,Friday,Afternoon,Clinic_17,Emergency,Rural,Follow-up,71,10.9,10,6,17,0,9,Storm,0.61,Strict,0.07,4,9,0.13,5,4,2.04,0,0,75,24.57,5.88,0.12,4
2024-12-17,Tuesday,Evening,Clinic_14,General,Urban,Urgent,51,26.6,10,24,29,4,3,Cloudy,0.72,Strict,0.13,6,3,0.06,1,2,1.0,0,0,75,36.88,21.31,0.04,11
2024-12-19,Thursday,Afternoon,Clinic_18,General,Urban,Follow-up,117,18.2,9,20,9,0,10,Cloudy,0.55,Strict,0.15,17,14,0.12,1,9,2.8,0,0,95,29.77,6.52,0.11,11
2024-12-29,Sunday,Evening,Clinic_28,General,Rural,Urgent,79,12.1,10,9,26,0,3,Clear,0.43,Moderate,0.14,11,7,0.09,1,2,1.69,0,0,87,53.22,23.68,0.03,16
2025-03-05,Wednesday,Evening,Clinic_10,Maternal,Rural,Urgent,78,27.7,10,20,17,5,3,Storm,0.97,Strict,0.11,8,7,0.09,1,2,2.52,0,0,85,49.44,23.39,0.04,9
2025-02-24,Monday,Morning,Clinic_10,Maternal,Rural,Routine,100,18.3,10,27,22,1,4,Rain,0.33,Strict,0.03,3,9,0.09,3,1,2.02,0,0,111,44.49,23.3,0.04,13
2024-12-26,Thursday,Evening,Clinic_15,Emergency,Urban,Follow-up,108,23.4,9,3,13,1,4,Rain,0.78,Moderate,0.05,5,16,0.15,3,1,2.95,0,1,101,59.54,19.3,0.04,18
2024-12-14,Saturday,Afternoon,Clinic_15,Pediatric,Rural,Urgent,72,21.7,10,18,16,1,6,Storm,0.85,Moderate,0.04,2,11,0.15,5,1,3.15,0,0,76,34.4,9.23,0.08,9
2025-01-10,Friday,Evening,Clinic_24,Pediatric,Rural,Follow-up,51,18.9,9,15,5,2,6,Clear,0.34,Open,0.16,8,7,0.14,4,2,2.78,0,0,43,28.28,4.34,0.14,9
2025-01-02,Thursday,Evening,Clinic_21,General,Rural,Urgent,40,14.3,8,17,13,1,6,Storm,0.63,Open,0.07,2,7,0.17,1,5,2.13,0,1,45,44.59,3.04,0.13,11
2025-03-27,Thursday,Morning,Clinic_15,Emergency,Urban,Follow-up,90,17.3,8,21,25,1,8,Rain,0.88,Open,0.09,8,15,0.17,7,1,2.02,0,1,93,63.68,5.26,0.09,17
2025-03-09,Sunday,Morning,Clinic_24,Chronic,Rural,Routine,117,14.4,9,7,10,4,5,Clear,0.41,Strict,0.1,11,9,0.08,2,3,2.16,0,0,111,49.5,17.25,0.05,16
2025-04-08,Tuesday,Evening,Clinic_11,General,Rural,Urgent,35,15.3,10,18,26,1,8,Rain,0.5,Moderate,0.09,3,5,0.14,4,4,2.1,0,0,54,23.88,4.36,0.15,10
2025-01-14,Tuesday,Afternoon,Clinic_12,Pediatric,Rural,Follow-up,76,27.7,8,16,23,5,4,Rain,0.55,Strict,0.11,8,12,0.16,2,2,2.81,1,0,84,68.99,14.1,0.05,17
2025-01-18,Saturday,Morning,Clinic_22,Maternal,Rural,Follow-up,39,24.4,9,21,21,5,7,Cloudy,0.58,Open,0.06,2,5,0.13,2,5,1.78,0,0,58,29.41,5.34,0.12,4
